Year,Tonnes
1950,1100
1951,7900
1952,16100
1953,37700
1954,44400
1955,66300
1956,130000
1957,346300
1958,778600
1959,2022000
1960,3481300
1961,5270000
1962,7126500
1963,7174200
1964,9797400
1965,7680900
1966,9620600
1967,10530000
1968,11271600
1969,9708800
1970,13059900
1971,11243700
1972,4815300
1973,1704800
1974,3972670
1975,3318656
1976,4297095
1977,810775
1978,1416049
1979,1413390
1980,822818
1981,1550313
1982,1826402
1983,126410
1984,93654
1985,986796
1986,4945315
1987,2100508
1988,3613107
1989,5407527
1990,3771577
1991,4017106
1992,6157269
1993,8482463
1994,12520611
1995,8644576
1996,8863714
1997,7685098
1998,1729064
1999,8723265
2000,11276357
2001,7213077
2002,9702614
2003,6203751
2004,10679338
2005,10244166
2006,7007157
2007,7611858
2008,7419295
2009,6910467
2010,4205979
2011,8319597
2012,4692855
2013,567403
