"Year","Month","Species","Metric Tons","Pounds","$"
"1990","Jan","HALIBUT, ATLANTIC","               0.7","           1,638","           4,420"
"1991","Jan","HALIBUT, ATLANTIC","               1.7","           3,812","          10,491"
"1992","Jan","HALIBUT, ATLANTIC","               1.7","           3,663","          13,064"
"1993","Jan","HALIBUT, ATLANTIC","               2.5","           5,501","          24,270"
"1994","Jan","HALIBUT, ATLANTIC","               1.1","           2,363","          11,759"
"1995","Jan","HALIBUT, ATLANTIC","               0.9","           1,996","           5,852"
"1996","Jan","HALIBUT, ATLANTIC","               0.3","             630","           1,929"
"1997","Jan","HALIBUT, ATLANTIC","               0.5","           1,151","           5,084"
"1998","Jan","HALIBUT, ATLANTIC","               0.2","             354","           1,315"
"1999","Jan","HALIBUT, ATLANTIC","               0.4","             990","           3,479"
"2000","Jan","HALIBUT, ATLANTIC","               0.4","             975","           3,638"
"2001","Jan","HALIBUT, ATLANTIC","               0.6","           1,254","           5,107"
"2002","Jan","HALIBUT, ATLANTIC","               0.5","           1,030","           4,091"
"2003","Jan","HALIBUT, ATLANTIC","               0.4","             803","           2,506"
"2004","Jan","HALIBUT, ATLANTIC","               0.3","             685","           3,134"
"2005","Jan","HALIBUT, ATLANTIC","               0.2","             449","           2,048"
"2006","Jan","HALIBUT, ATLANTIC","               0.1","             271","           1,365"
"2007","Jan","HALIBUT, ATLANTIC","               0.3","             681","           3,579"
"2008","Jan","HALIBUT, ATLANTIC","               0.3","             586","           3,560"
"2009","Jan","HALIBUT, ATLANTIC","               0.5","           1,101","           6,379"
"2010","Jan","HALIBUT, ATLANTIC","               0.6","           1,353","           7,819"
"2011","Jan","HALIBUT, ATLANTIC","               0.4","             983","           6,590"
"2012","Jan","HALIBUT, ATLANTIC","               0.3","             638","           5,108"
"2013","Jan","HALIBUT, ATLANTIC","               0.4","             927","           7,738"
"2014","Jan","HALIBUT, ATLANTIC","               0.4","             806","           7,615"
"1990","Feb","HALIBUT, ATLANTIC","               0.6","           1,403","           3,988"
"1991","Feb","HALIBUT, ATLANTIC","               3.4","           7,459","          18,692"
"1992","Feb","HALIBUT, ATLANTIC","               2.2","           4,867","          10,038"
"1993","Feb","HALIBUT, ATLANTIC","               1.8","           4,057","          14,224"
"1994","Feb","HALIBUT, ATLANTIC","               1.2","           2,629","          10,115"
"1995","Feb","HALIBUT, ATLANTIC","               0.7","           1,560","           6,138"
"1996","Feb","HALIBUT, ATLANTIC","               0.5","           1,206","           4,691"
"1997","Feb","HALIBUT, ATLANTIC","               0.5","           1,170","           3,722"
"1998","Feb","HALIBUT, ATLANTIC","               0.3","             756","           2,650"
"1999","Feb","HALIBUT, ATLANTIC","               0.4","             878","           2,766"
"2000","Feb","HALIBUT, ATLANTIC","               0.2","             449","           2,048"
"2001","Feb","HALIBUT, ATLANTIC","               0.2","             418","           1,626"
"2002","Feb","HALIBUT, ATLANTIC","               0.7","           1,438","           2,830"
"2003","Feb","HALIBUT, ATLANTIC","               0.3","             590","           2,337"
"2004","Feb","HALIBUT, ATLANTIC","               0.4","             964","           4,074"
"2005","Feb","HALIBUT, ATLANTIC","               0.6","           1,258","           5,457"
"2006","Feb","HALIBUT, ATLANTIC","               0.4","             800","           3,477"
"2007","Feb","HALIBUT, ATLANTIC","               0.1","             181","             887"
"2008","Feb","HALIBUT, ATLANTIC","               0.5","           1,051","           6,416"
"2009","Feb","HALIBUT, ATLANTIC","               0.5","           1,203","           6,777"
"2010","Feb","HALIBUT, ATLANTIC","               0.6","           1,311","           7,756"
"2011","Feb","HALIBUT, ATLANTIC","               0.2","             545","           3,335"
"2012","Feb","HALIBUT, ATLANTIC","               0.4","             962","           6,258"
"2013","Feb","HALIBUT, ATLANTIC","               0.4","             787","           5,895"
"2014","Feb","HALIBUT, ATLANTIC","               0.7","           1,568","          10,658"
"1990","Mar","HALIBUT, ATLANTIC","               1.6","           3,594","           8,664"
"1991","Mar","HALIBUT, ATLANTIC","               5.8","          12,769","          34,417"
"1992","Mar","HALIBUT, ATLANTIC","               2.1","           4,658","          12,140"
"1993","Mar","HALIBUT, ATLANTIC","               2.2","           4,742","          14,013"
"1994","Mar","HALIBUT, ATLANTIC","               2.1","           4,613","          13,149"
"1995","Mar","HALIBUT, ATLANTIC","               1.2","           2,708","           9,969"
"1996","Mar","HALIBUT, ATLANTIC","               4.1","           8,952","          34,824"
"1997","Mar","HALIBUT, ATLANTIC","               0.6","           1,314","           5,569"
"1998","Mar","HALIBUT, ATLANTIC","               0.8","           1,693","           6,285"
"1999","Mar","HALIBUT, ATLANTIC","               1.1","           2,316","           5,843"
"2000","Mar","HALIBUT, ATLANTIC","               1.2","           2,662","           5,635"
"2001","Mar","HALIBUT, ATLANTIC","               0.5","           1,131","           4,016"
