Age,Number
1,1000
2,855
3,798
4,760
5,732
6,710
7,692
8,680
9,670
10,661
11,653
12,646
13,640
14,634
15,628
16,622
17,616
18,610
19,604
20,598
21,592
22,586
23,579
24,573
25,567
26,560
27,553
28,546
29,539
30,531
31,523
32,515
33,507
34,499
35,490
36,481
37,472
38,463
39,454
40,445
41,436
42,427
43,417
44,407
45,397
46,387
47,377
48,367
49,357
50,346
51,335
52,324
53,313
54,302
55,292
56,282
57,272
58,262
59,252
60,242
61,232
62,222
63,212
64,202
65,192
66,182
67,172
68,162
69,152
70,142
71,131
72,120
73,109
74,98
75,88
76,78
77,68
78,58
79,50
80,41
81,34
82,28
83,23
84,20
