"replicate" "day" "dilution" "initial_density" "value" "extinction"
"rep_1" 1 250 "dens_1" 2.0263534 FALSE
"rep_2" 1 250 "dens_1" 2.0615396 FALSE
"rep_3" 1 250 "dens_1" 2.0853644 FALSE
"rep_4" 1 250 "dens_1" 2.0913676 FALSE
"rep_5" 1 250 "dens_1" 2.0645014 FALSE
"rep_6" 1 250 "dens_1" 2.0943763 FALSE
"rep_7" 1 250 "dens_1" 2.0176578 FALSE
"rep_8" 1 250 "dens_1" 2.0292609 FALSE
"rep_1" 1 500 "dens_1" 2.0793801 FALSE
"rep_2" 1 500 "dens_1" 2.1034311 FALSE
"rep_3" 1 500 "dens_1" 2.0973898 FALSE
"rep_4" 1 500 "dens_1" 2.1155717 FALSE
"rep_5" 1 500 "dens_1" 2.0943763 FALSE
"rep_6" 1 500 "dens_1" 2.0853644 FALSE
"rep_7" 1 500 "dens_1" 2.0883636 FALSE
"rep_8" 1 500 "dens_1" 2.0321727 FALSE
"rep_1" 1 750 "dens_1" 2.0585824 FALSE
"rep_2" 1 750 "dens_1" 1.8489652 FALSE
"rep_3" 1 750 "dens_1" 2.0585824 FALSE
"rep_4" 1 750 "dens_1" 2.0556298 FALSE
"rep_5" 1 750 "dens_1" 2.0556298 FALSE
"rep_6" 1 750 "dens_1" 2.0913676 FALSE
"rep_7" 1 750 "dens_1" 2.0118827 FALSE
"rep_8" 1 750 "dens_1" 1.9550773 FALSE
"rep_1" 1 1000 "dens_1" 2.0763951 FALSE
"rep_2" 1 1000 "dens_1" 2.1094917 FALSE
"rep_3" 1 1000 "dens_1" 2.106459 FALSE
"rep_4" 1 1000 "dens_1" 2.0526818 FALSE
"rep_5" 1 1000 "dens_1" 2.0118827 FALSE
"rep_6" 1 1000 "dens_1" 2.106459 FALSE
"rep_7" 1 1000 "dens_1" 2.0467995 FALSE
"rep_8" 1 1000 "dens_1" 1.9804298 FALSE
"rep_1" 1 1133 "dens_1" 1.2062687 FALSE
"rep_2" 1 1133 "dens_1" 1.8174728 FALSE
"rep_3" 1 1133 "dens_1" 1.7864939 FALSE
"rep_4" 1 1133 "dens_1" 1.0401611 FALSE
"rep_5" 1 1133 "dens_1" 1.7284933 FALSE
"rep_6" 1 1133 "dens_1" 1.8070903 FALSE
"rep_7" 1 1133 "dens_1" 1.8226854 FALSE
"rep_8" 1 1133 "dens_1" 1.7161154 FALSE
"rep_1" 1 1266 "dens_1" 2.1155717 FALSE
"rep_2" 1 1266 "dens_1" 2.1247284 FALSE
"rep_3" 1 1266 "dens_1" 2.0853644 FALSE
"rep_4" 1 1266 "dens_1" 2.118619 FALSE
"rep_5" 1 1266 "dens_1" 2.1216712 FALSE
"rep_6" 1 1266 "dens_1" 2.1524661 FALSE
"rep_7" 1 1266 "dens_1" 2.0883636 FALSE
"rep_8" 1 1266 "dens_1" 2.0526818 FALSE
"rep_1" 1 1400 "dens_1" 2.0556298 FALSE
"rep_2" 1 1400 "dens_1" 2.0823699 FALSE
"rep_3" 1 1400 "dens_1" 2.0205519 FALSE
"rep_4" 1 1400 "dens_1" 2.0793801 FALSE
"rep_5" 1 1400 "dens_1" 2.0321727 FALSE
"rep_6" 1 1400 "dens_1" 2.0674679 FALSE
"rep_7" 1 1400 "dens_1" 2.0061251 FALSE
"rep_8" 1 1400 "dens_1" 1.8410431 FALSE
"rep_1" 1 1600 "dens_1" 1.8972048 FALSE
"rep_2" 1 1600 "dens_1" 1.9691202 FALSE
"rep_3" 1 1600 "dens_1" 2.0973898 FALSE
"rep_4" 1 1600 "dens_1" 2.0853644 FALSE
"rep_5" 1 1600 "dens_1" 2.1094917 FALSE
"rep_6" 1 1600 "dens_1" 2.0585824 FALSE
"rep_7" 1 1600 "dens_1" 2.0409353 FALSE
"rep_8" 1 1600 "dens_1" 1.9355899 FALSE
"rep_1" 2 250 "dens_1" 1.7711918 FALSE
"rep_2" 2 250 "dens_1" 1.7916221 FALSE
"rep_3" 2 250 "dens_1" 1.7993404 FALSE
"rep_4" 2 250 "dens_1" 1.7941914 FALSE
"rep_5" 2 250 "dens_1" 1.7839349 FALSE
"rep_6" 2 250 "dens_1" 1.8174728 FALSE
"rep_7" 2 250 "dens_1" 1.7509788 FALSE
"rep_8" 2 250 "dens_1" 1.6989207 FALSE
"rep_1" 2 500 "dens_1" 1.5896406 FALSE
